Prompt,Style,Score,Readability,Simplicity,Actionability,Comfort,Explanation
How do I reset my Wi-Fi router?,short,40.4,63.0,43.99999999999999,10,0,"The router may not be functioning properly. Locate the reset button on your router, usually a small hole that requires a pin or paperclip to press. Hold it down for about 10 seconds, then release. The router should restart and reset to factory settings.

📊 This should help in most situations. (How sure I am: 84%)"
How do I reset my Wi-Fi router?,simplify,10.600000000000001,75.0,0,10,5,"Resetting your Wi-Fi router is like giving your garden a fresh start. Just like how you sometimes need to clear out old plants and start new ones for a healthier garden, your router also needs a fresh start to work better.

Here's how you do it:

1. Look for a tiny button on your router that says 'Reset'. It's usually at the back.
2. Use a paperclip or pin to press and hold this button for about 10 seconds.
3. Release the button and wait for a bit. Your router will take a few minutes to clean out the old information and start fresh, just like when you plant new seeds in your garden.
4. Once it's done, you can connect to your Wi-Fi again. But remember, you'll need to use the original Wi-Fi password that came with your router, as the old one you set won't work anymore.

And there you go! You've given your Wi-Fi router a fresh start.

📊 This should help in most situations. (How sure I am: 79%)"
How do I reset my Wi-Fi router?,step-by-step,29.1,78.0,0,0,0,"1. Find the router → in your living room or office → box with blinking lights
2. Locate the RESET button → back of the router → small hole
3. Get a paperclip → from your desk → metal wire loop
4. Push the paperclip into the hole → back of the router → feel a click
5. Hold for 10 seconds → count slowly → lights will flicker
6. Release the paperclip → pull it out → router will restart

⚠️ WARNING: Do not hold the reset button for more than 20 seconds.

📊 This should help in most situations. (How sure I am: 84%)"
How do I reset my Wi-Fi router?,short + simplify,46.5,100,15.000000000000002,10,0,"Find the tiny hole on your router. It's the reset button. You'll need a pin or a paperclip to push it. Press and hold it for about 10 seconds. You'll know it's working when the lights on the router start to blink. Let go after that. This is like planting a new seed in your garden. It gives your router a fresh start, back to how it was when you first got it.

📊 This should help in most situations. (How sure I am: 82%)"
How do I reset my Wi-Fi router?,short + step-by-step,16.600000000000005,50.0,0,40,0,"Locate the reset button on your router, usually a small hole or button, and press it using a paperclip or pen for about 10 seconds until the lights on the router start flashing. After releasing the button, wait for the router to fully restart.

👣 **Step-by-Step Instructions**:
1. Find your router → usually near your computer → box with blinking lights
2. Locate the reset button → back of the router → small, recessed button
3. Get a thin object → like a paperclip or toothpick
4. Push the reset button → using the thin object → hold for 10 seconds
5. Release the button → router will restart → lights will blink
6. Wait for router → to fully restart → steady lights indicate completion

📊 I'm highly confident this will help. (How sure I am: 88%)"
How do I reset my Wi-Fi router?,simplify + step-by-step,0,71.0,0,30,2,"Sure, resetting your Wi-Fi router is like giving your garden a good watering after a long dry spell. It helps everything to start fresh and work properly. Here's how you can do it:

1. Find your router: It's a small box with lights on it that was given to you by your internet company.
2. Find the reset button: It's usually a small hole on the back or bottom of the router.
3. Use a paperclip or pen: Push it into the hole and hold it for about 10 seconds. The lights on the router will blink.
4. Wait for a bit: Just like after watering your garden, give it some time. The router will take a few minutes to start back up. 

And there you go! Your router is reset. If you have any more questions, feel free to ask.

👣 **Step-by-Step Instructions**:
1. Locate router → usually near computer → box with blinking lights
2. Find reset button → back of router → small hole
3. Get paperclip → desk drawer → looks like a wire loop
4. Straighten paperclip → on desk → until it's a straight wire
5. Insert paperclip → into reset hole → push gently until click
6. Wait for router restart → front of router → lights will blink

⚠️ WARNING: Do not force the paperclip. It should slide in easily.

📊 This should help in most situations. (How sure I am: 76%)"
How do I reset my Wi-Fi router?,short + simplify + step-by-step,24.400000000000002,71.0,0,40,0,"Find the little hole marked ""Reset"" on your internet box. It's like planting a seed - push a paperclip into that hole and hold it there for a slow count of 10. The box will then start fresh, like a new bloom in spring.

👣 **Step-by-Step Instructions**:
1. Find router → usually near computer → box with flashing lights
2. Locate reset button → back of router → small, indented button
3. Get a paperclip → nearby office supplies → small, metal wire
4. Insert paperclip → into reset button → feels like a click
5. Hold for 10 seconds → count slowly → lights will flash
6. Release paperclip → pull out gently → router will restart

⚠️ WARNING: Do not press other buttons while resetting.

📊 This should help in most situations. (How sure I am: 86%)"
What does 'low disk space' mean?,short,43.6,62.0,61.0,0,5,"'Low disk space' means your computer's storage is nearly full. You can free up space by deleting unnecessary files or moving them to an external storage device.

📊 This should help in most situations. (How sure I am: 80%)"
What does 'low disk space' mean?,simplify,29.6,61.0,4.0000000000000036,20,0,"'Low disk space' is like having a small garden where you're trying to grow lots of plants. Your computer, like a garden, has a certain amount of space to store things like photos, documents, and programs. If you try to put too many things in your computer, just like if you plant too many plants in a small garden, you'll run out of room. 'Low disk space' is your computer's way of saying, ""Hey, my garden is getting too full, I need more room!""

📊 This should help in most situations. (How sure I am: 74%)"
What does 'low disk space' mean?,step-by-step,17.700000000000003,63.0,0,0,0,"1. Open your computer → Desktop → Big screen after turning on
2. Click on ""My Computer"" → Desktop → Icon looks like a computer
3. Look at ""Local Disk (C:)"" → New window → Usually top left
4. See ""Free Space"" → Below ""Local Disk (C:)"" → Listed in GB
Why: 'Low disk space' means your computer is running out of storage. 'Free Space' shows how much is left.
5. If 'Free Space' is low → Under 10GB → Consider deleting files
⚠️ WARNING: Be careful not to delete important files.
6. To delete, right-click file → Choose 'Delete' → File disappears
Why: This makes more 'Free Space' on your computer.

📊 I'm highly confident this will help. (How sure I am: 90%)"
What does 'low disk space' mean?,short + simplify,38.0,75.0,25.0,0,5,"'Low disk space' is like your closet being almost full of clothes. There's not much room left to put new things. You can make more room by getting rid of things you don't need anymore, or by moving some items to a different closet. In computer terms, this means deleting files you don't need or moving them to something like a USB stick.

📊 This should help in most situations. (How sure I am: 80%)"
